City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,yatou,37.15,122.3833,301.2,80,100,2.98,CN,1722913516
158,chibougamau,49.9168,-74.3659,282.07,79,15,2.05,CA,1722913624
159,ostersund,63.1792,14.6357,288.4,100,20,3.6,SE,1722913625
160,banikoara,11.2985,2.4386,295.27,96,100,2.11,BJ,1722913626
161,egilsstadir,65.2653,-14.3948,282.37,88,66,3.29,IS,1722913629
162,arawa,-6.2132,155.5367,302.46,75,85,2.57,PG,1722913630
163,puerto ayacucho,5.6639,-67.6236,296.07,95,83,0.85,VE,1722913631
164,karangampel,-6.4622,108.4519,302.13,54,11,5.51,ID,1722913632
165,bebedja,8.6761,16.566,294.99,88,99,1.27,TD,1722913633
166,jinchang,38.4953,102.1739,296.73,42,100,6.27,CN,1722913634
167,hawaiian paradise park,19.5933,-154.9731,300.88,72,40,3.6,US,1722913383
168,greenville,35.6127,-77.3663,298.17,94,0,4.12,US,1722913507
169,elkhorn,42.6728,-88.5445,293.66,73,100,3.6,US,1722913637
170,black river,18.0264,-77.8487,300.72,81,2,3.2,JM,1722913638
171,sitka,57.0531,-135.33,290.09,82,20,3.09,US,1722913640
172,hadibu,12.65,54.0333,298.32,84,39,8.3,YE,1722913641
173,pariaman,-0.619,100.12,303.18,75,29,2.72,ID,1722913642
174,anatuya,-28.4606,-62.8347,289.94,75,0,2.21,AR,1722913643
175,singaraja,-8.112,115.0882,302.42,58,49,2.39,ID,1722913644
176,zouerate,22.7187,-12.4521,300.22,34,2,6.66,MR,1722913645
177,la'ie,21.6477,-157.9253,304.13,71,32,2.68,US,1722913646
178,tralee,52.2704,-9.7026,284.25,96,25,2.51,IE,1722913647
179,bredasdorp,-34.5322,20.0403,280.25,85,0,3.35,ZA,1722913648
180,iqaluit,63.7506,-68.5145,280.0,75,100,1.03,CA,1722913649
181,tabas,33.5959,56.9244,308.11,13,3,1.1,IR,1722913651
182,luderitz,-26.6481,15.1594,285.86,61,0,5.28,NA,1722913652
183,wuhai,39.6647,106.8122,302.63,35,100,4.63,CN,1722913653
184,ust-nera,64.5667,143.2,291.49,45,100,1.71,RU,1722913654
185,horta,38.5333,-28.6333,295.38,89,34,0.89,PT,1722913655
